month,category,campaign_id,campaign_name,platform,spend,cpc,clicks,ctr,impressions,leads,cpl
2024-12,Immobilier,IMM-01,Immobilier 1 (Google Ads),Google Ads,2755.67,3.52,782,0.0157,49928,21,131.22
2024-12,Immobilier,IMM-02,Immobilier 2 (Google Ads),Google Ads,2753.22,2.92,942,0.0105,89541,39,70.6
2024-12,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2184.78,3.8,574,0.0272,21129,24,91.03
2024-12,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2027.95,1.78,1139,0.0196,58066,67,30.27
2025-01,Assurance,ASS-01,Assurance 1 (Meta Ads),Meta Ads,2440.94,1.42,1718,0.0295,58249,77,31.7
2025-01,Assurance,ASS-02,Assurance 2 (Google Ads),Google Ads,2048.74,3.75,546,0.0224,24323,21,97.56
2025-01,Banque,BAN-01,Banque 1 (Google Ads),Google Ads,2713.99,3.02,898,0.0389,23108,42,64.62
2025-01,Banque,BAN-02,Banque 2 (Google Ads),Google Ads,2870.09,3.39,846,0.0301,28128,35,82.0
2025-01,Immobilier,IMM-01,Immobilier 1 (Google Ads),Google Ads,2086.68,1.65,1264,0.0102,124448,26,80.26
2025-01,Immobilier,IMM-02,Immobilier 2 (Google Ads),Google Ads,2436.09,2.33,1045,0.0245,42735,29,84.0
2025-01,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2563.38,1.66,1544,0.0087,178021,68,37.7
2025-01,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2840.08,2.97,956,0.0082,116158,47,60.43
2025-02,Assurance,ASS-01,Assurance 1 (Meta Ads),Meta Ads,2679.2,1.88,1425,0.0287,49690,46,58.24
2025-02,Assurance,ASS-02,Assurance 2 (Google Ads),Google Ads,2835.65,3.32,854,0.0336,25402,29,97.78
2025-02,Banque,BAN-01,Banque 1 (Google Ads),Google Ads,2445.12,1.74,1405,0.0291,48302,43,56.86
2025-02,Banque,BAN-02,Banque 2 (Google Ads),Google Ads,2498.06,2.53,987,0.0356,27691,21,118.96
2025-02,Immobilier,IMM-01,Immobilier 1 (Google Ads),Google Ads,2432.88,1.69,1439,0.0339,42502,65,37.43
2025-02,Immobilier,IMM-02,Immobilier 2 (Google Ads),Google Ads,2368.03,1.74,1360,0.0289,47109,49,48.33
2025-02,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2534.44,1.98,1280,0.0252,50872,38,66.7
2025-02,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2206.63,1.96,1125,0.0228,49333,62,35.59
2025-03,Assurance,ASS-01,Assurance 1 (Meta Ads),Meta Ads,2788.02,1.95,1429,0.0314,45544,87,32.05
2025-03,Assurance,ASS-02,Assurance 2 (Google Ads),Google Ads,2264.36,3.15,718,0.0236,30457,26,87.09
2025-03,Banque,BAN-01,Banque 1 (Google Ads),Google Ads,2039.97,1.91,1068,0.0081,132358,33,61.82
2025-03,Banque,BAN-02,Banque 2 (Google Ads),Google Ads,2119.46,3.82,554,0.0331,16724,15,141.3
2025-03,Immobilier,IMM-01,Immobilier 1 (Google Ads),Google Ads,2900.5,2.69,1078,0.0374,28807,38,76.33
2025-03,Immobilier,IMM-02,Immobilier 2 (Google Ads),Google Ads,2938.76,1.64,1791,0.0243,73854,81,36.28
2025-03,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2436.53,2.04,1194,0.0099,120954,60,40.61
2025-03,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2512.41,1.65,1522,0.018,84389,40,62.81
2025-04,Assurance,ASS-01,Assurance 1 (Meta Ads),Meta Ads,2930.39,1.27,2307,0.0165,139821,81,36.18
2025-04,Assurance,ASS-02,Assurance 2 (Google Ads),Google Ads,2461.37,3.11,791,0.0226,34951,53,46.44
2025-04,Banque,BAN-01,Banque 1 (Google Ads),Google Ads,2118.08,1.7,1245,0.029,42877,46,46.05
2025-04,Banque,BAN-02,Banque 2 (Google Ads),Google Ads,2117.51,2.29,924,0.0163,56532,37,57.23
2025-04,Immobilier,IMM-01,Immobilier 1 (Google Ads),Google Ads,2640.71,2.76,956,0.0122,78113,29,91.06
2025-04,Immobilier,IMM-02,Immobilier 2 (Google Ads),Google Ads,2088.61,1.67,1250,0.0158,79028,35,59.67
2025-04,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,3012.08,3.84,784,0.0083,94479,36,83.67
2025-04,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2631.25,2.91,904,0.0112,80718,39,67.47
2025-05,Assurance,ASS-01,Assurance 1 (Meta Ads),Meta Ads,2211.17,0.98,2256,0.017,132579,86,25.71
2025-05,Assurance,ASS-02,Assurance 2 (Google Ads),Google Ads,2865.47,2.36,1214,0.03,40466,77,37.21
2025-05,Banque,BAN-01,Banque 1 (Google Ads),Google Ads,2341.45,3.83,611,0.0113,54000,28,83.62
2025-05,Banque,BAN-02,Banque 2 (Google Ads),Google Ads,2442.32,2.16,1130,0.0365,30983,47,51.96
2025-05,Immobilier,IMM-01,Immobilier 1 (Google Ads),Google Ads,2562.02,1.61,1591,0.0187,85199,38,67.42
2025-05,Immobilier,IMM-02,Immobilier 2 (Google Ads),Google Ads,2453.25,3.95,621,0.0132,47150,20,122.66
2025-05,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2695.73,2.76,976,0.016,60863,55,49.01
2025-05,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2428.61,1.63,1489,0.0283,52620,80,30.36
2025-06,Assurance,ASS-01,Assurance 1 (Meta Ads),Meta Ads,2158.41,0.77,2803,0.0194,144113,160,13.49
2025-06,Assurance,ASS-02,Assurance 2 (Google Ads),Google Ads,3009.94,3.17,949,0.0193,49125,49,61.43
2025-06,Banque,BAN-01,Banque 1 (Google Ads),Google Ads,2765.28,2.88,960,0.0218,44131,20,138.26
2025-06,Banque,BAN-02,Banque 2 (Google Ads),Google Ads,2617.33,2.41,1086,0.0379,28685,53,49.38
2025-06,Immobilier,IMM-01,Immobilier 1 (Google Ads),Google Ads,2080.89,3.5,594,0.0137,43466,19,109.52
2025-06,Immobilier,IMM-02,Immobilier 2 (Google Ads),Google Ads,2421.42,1.95,1241,0.0376,33019,53,45.69
2025-06,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2750.31,3.69,745,0.0392,19023,38,72.38
2025-06,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2196.41,3.81,576,0.0156,36980,17,129.2
2025-07,Assurance,ASS-01,Assurance 1 (Meta Ads),Meta Ads,2827.43,1.1,2570,0.0291,88252,118,23.96
2025-07,Assurance,ASS-02,Assurance 2 (Google Ads),Google Ads,2324.1,2.2,1056,0.0102,103312,64,36.31
2025-07,Banque,BAN-01,Banque 1 (Google Ads),Google Ads,2493.17,2.68,930,0.0144,64644,44,56.66
2025-07,Banque,BAN-02,Banque 2 (Google Ads),Google Ads,2760.08,2.37,1164,0.0343,33978,53,52.08
2025-07,Immobilier,IMM-01,Immobilier 1 (Google Ads),Google Ads,2463.01,3.69,667,0.0164,40772,24,102.63
2025-07,Immobilier,IMM-02,Immobilier 2 (Google Ads),Google Ads,2107.58,3.96,532,0.0092,57674,20,105.38
2025-07,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2232.12,2.38,937,0.0243,38558,45,49.6
2025-07,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2792.51,3.61,773,0.0186,41566,20,139.63
2025-08,Assurance,ASS-01,Assurance 1 (Meta Ads),Meta Ads,2460.71,1.05,2343,0.0218,107469,159,15.48
2025-08,Assurance,ASS-02,Assurance 2 (Google Ads),Google Ads,3014.02,3.8,793,0.0279,28381,44,68.5
2025-08,Banque,BAN-01,Banque 1 (Google Ads),Google Ads,2369.1,2.59,914,0.0246,37097,40,59.23
2025-08,Banque,BAN-02,Banque 2 (Google Ads),Google Ads,2814.24,3.22,873,0.0381,22920,36,78.17
2025-08,Immobilier,IMM-01,Immobilier 1 (Google Ads),Google Ads,2211.94,2.89,765,0.0141,54106,30,73.73
2025-08,Immobilier,IMM-02,Immobilier 2 (Google Ads),Google Ads,2064.79,2.45,842,0.0319,26361,21,98.32
2025-08,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2136.76,1.81,1180,0.0368,32063,50,42.74
2025-08,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2928.44,3.17,923,0.0184,50060,45,65.08
